range_bin,range_m,amplitude,snr,width,prominence,cfar_detected,ground_truth_target
93,13950.0,0.1876,1.5371,11.3734,0.1559,True,False
138,20700.0,0.2077,1.7017,9.3974,0.1905,False,False
188,28200.0,0.2015,1.6505,8.9393,0.191,False,False
236,35400.0,1.0556,8.6466,9.8225,0.6604,True,True
501,75150.0,0.2274,1.8627,15.8989,0.0951,True,False
620,93000.0,0.9834,8.0559,9.2156,0.6715,True,True
705,105750.0,0.1851,1.5164,13.2805,0.1308,False,False
819,122850.0,0.5249,4.2994,10.9131,0.3172,True,True
909,136350.0,0.2112,1.73,8.493,0.1319,False,False
927,139050.0,0.9606,7.8688,9.88,0.5766,True,True
